Region,Place name,Place type,Rating,Enough Reviews,Price,Delivery option,Dine in option,Takeout option
D,SV Кафе,Cafe,4.6,True,$$,False,True,True
D,Dva Gusya Pizza,Cafe,4.0,True,$$,True,True,True
D,Offshore cafe,Cafe,4.4,True,$$,False,True,True
D,Франс.уа на Пушкина,Cafe,4.9,False,$$,False,True,True
D,Дикий Койот кафе,Cafe,4.9,False,$$,True,True,True
D,BON BON,Coffee shop,4.8,False,$$,False,True,True
D,The Spiceroom,Cafe,4.6,False,$$,True,,True
D,Магазин AROMA coffee&tea shop,Cafe,5.0,False,$$,False,True,
G,coffeeok,Others,4.9,True,$$,True,,
G,"""®КАВА БАЗА®""",Others,5.0,False,$$,False,,
G,Coffee in Action,Coffee shop,4.9,False,$$,False,,
G,Горький Espresso Bar,Coffee shop,5.0,False,$$,False,,
G,Кафе Бутик,Others,4.7,False,$$,True,,
G,Cuba Coffee Brew - Bar,Espresso bar,4.6,True,$$,False,True,True
G,Progress Cafe,Coffee shop,4.9,False,$$,False,,
G,Буду Кофе,Coffee shop,4.9,False,$$,False,True,True
G,ONE LOVE espresso bar,Coffee shop,4.6,True,$$,False,True,True
G,Matílda cafe,Cafe,4.9,False,$$,False,True,True
G,TAKAVA Coffee-Buffet,Cafe,4.6,True,$$,False,True,True
G,Kaffa,Cafe,4.7,True,$$,False,True,True
G,The Blue Cup Coffee Shop,Espresso bar,4.6,True,$$,True,True,True
G,LION coffee,Coffee shop,4.9,False,$$,False,,
G,Kaffa,Espresso bar,4.8,True,$$,False,True,True
G,London,Cafe,4.7,True,$$,False,True,
G,PRO Coffee,Espresso bar,4.8,False,$$,False,True,True
G,RIGHT coffee bar,Coffee shop,4.7,True,$$,False,True,True
G,Espressoholic,Espresso bar,4.6,True,$,False,True,True
G,Matin Desserts & Coffee,Coffee shop,4.9,False,$$,False,,
I,КофеТочка Харьков - интернет-магазин кофе и кофеоборудования,Others,3.9,False,$$,False,,
I,Coffee House,Espresso bar,4.5,False,$$,False,,
I,Sweeter,Coffee shop,4.6,True,$$,False,True,True
I,Workshop coffee,Coffee shop,4.7,False,$$,False,True,True
I,Мастерская Кофе,Coffee shop,4.7,False,$$,False,True,True
I,Kofeyin,Coffee shop,4.5,True,$$,False,True,True
I,Dom Kofe,Coffee shop,4.6,False,$$,False,,
I,coffee House,Cafe,4.6,False,$$,False,,
I,Cats and coffee | Киці та кава,Espresso bar,4.6,True,$$,True,True,True
I,CoffeeDoor Brewbar & Coffeeshop,Coffee shop,4.7,True,$$,False,True,True
I,"Dom Kofe, Mah.",Coffee shop,4.3,False,$$,False,,
I,Dim Kavy,Espresso bar,4.7,False,$$,False,,
I,Dim Kavy,Others,4.7,False,$$,False,True,True
I,Sweeter,Coffee shop,4.6,False,$$,False,True,True
I,Kava U Shafi,Coffee shop,4.6,True,$$,False,True,
I,Coffeelaktika,Coffee shop,4.8,False,$$,False,True,True
I,"Caffissimo, КОФЕЙНЯ",Coffee shop,4.6,False,$$,True,True,True
I,Coffeelaktika coffee studio,Coffee shop,4.5,False,$$,False,True,True
I,KOFEiN®,Coffee shop,4.6,True,$$,False,True,True
I,Mr. Bourbon,Coffee shop,4.7,True,$$,False,True,True
H,DoubleDecker Cake and Coffee,Others,4.7,True,$$$,True,True,True
H,Dim Kavy,Others,4.9,False,$$,False,,
H,Бамбук,Cafe,4.1,False,$$,False,True,True
H,I feel city cafe,Cafe,4.5,True,$$,True,True,True
H,Coffee Secrets,Cafe,4.6,False,$$,False,True,True
H,Horizontal kaffee,Cafe,5.0,False,$$,False,True,
H,"Coffee&Cake, Game zone PS4",Coffee shop,,False,$$,False,,
H,Zeffirino,Coffee shop,4.6,True,$$,False,True,True
H,Coffee Life,Cafe,4.0,False,$$,False,True,True
H,The sisters,Cafe,4.7,False,$$,False,True,True
H,"""Франс.уа"" кофейня-пекарня",Cafe,3.9,False,$$,False,,True
H,Tsikava Kava,Others,4.7,False,$$,True,True,
H,Try Bobry,Coffee shop,4.6,True,$$,False,True,True
H,Pa-si-ju Кафе,Cafe,4.6,True,$$,True,True,True
H,Колибри,Cafe,5.0,False,$$,False,True,True
H,Artist,Others,4.6,True,$$$,False,True,True
H,Dream Cafe,Cafe,4.3,True,$$,False,True,True
H,РУТА КАФЕ ПП КУЛІЧЕНКО К.І.,Cafe,4.6,False,$$,False,True,True
H,Ob'yektna Kava,Coffee shop,4.7,True,$$,False,True,True
H,О...МАРАТ КАФЕ ПП ПОЛІСТЕП,Cafe,4.3,False,$$,False,True,
